MS SubClass,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Misc Val,Mo Sold,SalePrice
120,50.0,8012,6,5,0.0,543.0,119.0,261.0,923.0,923,0,0,923,0.0,2,0,2,1,5,1,1980.0,1.0,264.0,80,0,0,0,0,0,5,143000
120,55.0,7892,6,5,0.0,0.0,0.0,918.0,918.0,918,0,0,918,0.0,2,0,2,1,5,1,1979.0,1.0,264.0,28,0,0,0,0,0,4,99500
120,50.0,7175,6,5,0.0,623.0,121.0,0.0,744.0,752,0,0,752,1.0,1,0,2,1,4,0,1984.0,1.0,264.0,353,0,0,0,90,0,2,125000
20,81.0,9672,6,5,0.0,338.0,0.0,702.0,1040.0,1097,0,0,1097,0.0,2,0,3,1,6,0,1986.0,2.0,480.0,0,0,0,0,0,0,5,152000
30,70.0,9800,5,5,0.0,0.0,0.0,816.0,816.0,1012,0,0,1012,0.0,1,0,2,1,5,0,1920.0,1.0,429.0,121,0,80,0,0,0,4,67500
85,88.0,11782,5,7,0.0,899.0,0.0,210.0,1109.0,1155,0,0,1155,1.0,1,0,3,1,6,0,1987.0,2.0,576.0,192,0,0,0,0,400,6,148000
20,65.0,8450,5,8,0.0,553.0,117.0,224.0,894.0,894,0,0,894,1.0,1,0,3,1,5,1,1973.0,1.0,336.0,416,144,0,0,0,0,4,138500
60,107.0,10186,7,5,0.0,674.0,0.0,76.0,750.0,1061,862,0,1923,1.0,2,1,3,1,8,1,1992.0,2.0,564.0,240,39,0,0,0,0,6,190000
60,88.0,11134,8,5,180.0,1129.0,0.0,261.0,1390.0,1402,823,0,2225,1.0,2,1,4,1,7,1,1992.0,3.0,713.0,198,30,0,0,0,0,6,285000
120,25.0,4835,7,5,0.0,1298.0,0.0,190.0,1488.0,1488,0,0,1488,1.0,2,0,2,1,6,1,2004.0,2.0,506.0,168,50,0,0,0,0,3,260000
160,39.0,3515,7,5,0.0,0.0,0.0,840.0,840.0,840,840,0,1680,0.0,2,1,2,1,3,0,2004.0,2.0,588.0,0,111,0,0,0,0,1,190000
160,30.0,3215,7,5,120.0,280.0,0.0,320.0,600.0,600,600,0,1200,0.0,2,1,2,1,4,0,2004.0,2.0,480.0,0,172,0,0,0,0,4,155000
160,30.0,3182,7,5,0.0,0.0,0.0,600.0,600.0,600,600,0,1200,0.0,2,1,2,1,4,0,2004.0,2.0,480.0,0,172,0,0,0,0,6,151000
160,24.0,2544,7,5,0.0,368.0,42.0,190.0,600.0,600,600,0,1200,1.0,2,1,2,1,4,0,2004.0,2.0,480.0,0,172,0,0,0,0,2,149500
160,24.0,2544,6,5,216.0,376.0,0.0,224.0,600.0,600,636,0,1236,1.0,2,1,2,1,4,0,2005.0,2.0,480.0,0,166,0,0,0,0,5,152000
160,24.0,2572,7,5,0.0,604.0,0.0,92.0,696.0,696,720,0,1416,1.0,2,1,3,1,6,0,1999.0,2.0,484.0,0,44,0,0,0,0,5,155000
60,68.0,7379,8,5,0.0,484.0,0.0,491.0,975.0,975,873,0,1848,1.0,2,1,3,1,7,1,2000.0,2.0,592.0,280,184,0,0,0,0,4,254000
120,30.0,4420,8,5,0.0,728.0,0.0,0.0,728.0,788,0,0,788,1.0,1,0,1,1,3,1,1980.0,2.0,484.0,133,42,0,0,0,0,6,155000
120,40.0,3880,8,6,0.0,1052.0,0.0,174.0,1226.0,1226,0,0,1226,1.0,1,0,1,1,4,1,1978.0,2.0,484.0,223,78,0,0,0,0,1,206000
20,80.0,8000,7,5,0.0,833.0,0.0,659.0,1492.0,1492,0,0,1492,1.0,2,0,3,1,6,1,2002.0,2.0,596.0,277,137,0,0,0,0,4,230000
60,80.0,10791,6,5,0.0,1137.0,0.0,143.0,1280.0,1280,1215,0,2495,1.0,2,1,4,1,9,1,1993.0,2.0,660.0,224,32,0,0,0,0,3,243500
60,80.0,10421,7,5,42.0,394.0,0.0,586.0,980.0,980,734,0,1714,0.0,2,1,3,1,7,1,1988.0,2.0,496.0,228,66,156,0,0,500,3,196500
20,78.0,9360,6,7,0.0,982.0,0.0,179.0,1161.0,1381,0,0,1381,1.0,1,1,3,1,5,1,1972.0,2.0,676.0,0,0,0,0,0,0,3,197500
20,80.0,9600,5,5,172.0,698.0,0.0,534.0,1232.0,1232,0,0,1232,1.0,1,1,3,1,6,0,1966.0,2.0,490.0,0,224,0,0,0,0,4,142250
20,90.0,9900,5,5,0.0,1059.0,0.0,150.0,1209.0,1209,0,0,1209,1.0,1,0,3,1,6,0,1966.0,2.0,504.0,0,0,120,0,0,0,4,159000
85,80.0,8800,6,7,156.0,763.0,0.0,173.0,936.0,1054,0,0,1054,1.0,1,0,3,1,6,0,1963.0,2.0,480.0,120,0,0,0,0,0,5,137500
50,68.0,9724,5,7,265.0,670.0,0.0,470.0,1140.0,1929,532,0,2461,0.0,2,0,3,1,7,2,1994.0,2.0,400.0,0,0,0,0,0,0,3,197600
50,120.0,17360,6,6,340.0,300.0,0.0,482.0,782.0,1019,537,0,1556,0.0,2,0,3,1,6,1,1949.0,2.0,470.0,0,0,150,0,0,0,1,172500
20,80.0,9920,5,5,110.0,354.0,290.0,412.0,1056.0,1063,0,0,1063,1.0,1,0,3,1,6,0,1954.0,1.0,280.0,0,0,164,0,0,0,2,128000
80,80.0,9600,6,6,164.0,674.0,132.0,350.0,1156.0,1520,0,0,1520,1.0,1,0,3,1,7,2,1955.0,1.0,364.0,0,0,189,0,0,0,3,153000
20,78.0,7800,5,6,200.0,540.0,0.0,728.0,1268.0,1268,0,0,1268,0.0,1,0,2,1,7,1,1954.0,1.0,244.0,0,98,0,0,0,0,3,132000
85,75.0,11380,6,8,216.0,944.0,0.0,136.0,1080.0,1128,0,0,1128,1.0,1,0,2,1,5,1,1966.0,1.0,315.0,238,0,0,0,0,1500,1,178000
20,70.0,8197,7,5,506.0,1188.0,0.0,292.0,1480.0,1480,0,0,1480,1.0,2,0,3,1,7,0,2003.0,2.0,620.0,252,73,0,0,0,300,2,214000
20,70.0,10552,5,5,0.0,1018.0,0.0,380.0,1398.0,1700,0,0,1700,0.0,1,1,4,1,6,1,1959.0,2.0,447.0,0,38,0,0,0,0,4,165500
20,70.0,8400,5,6,0.0,922.0,0.0,392.0,1314.0,1314,0,0,1314,1.0,1,0,3,1,5,0,1957.0,1.0,294.0,250,0,0,0,0,0,6,145000
20,73.0,8760,6,6,220.0,0.0,0.0,1194.0,1194.0,1194,0,0,1194,1.0,1,0,3,1,6,0,1959.0,1.0,312.0,0,0,120,0,0,0,4,148000
20,73.0,9300,5,5,324.0,697.0,0.0,571.0,1268.0,1264,0,0,1264,1.0,1,0,3,1,6,2,1960.0,2.0,461.0,0,0,0,0,143,0,4,167500
20,87.0,10725,5,5,91.0,936.0,0.0,270.0,1206.0,1206,0,0,1206,0.0,1,0,3,1,6,0,1959.0,1.0,312.0,0,21,0,0,0,0,5,108538
20,80.0,10032,6,5,432.0,734.0,0.0,510.0,1244.0,1580,0,0,1580,1.0,1,1,3,1,6,2,1956.0,2.0,440.0,0,28,0,0,160,0,6,159500
50,60.0,8382,4,5,0.0,0.0,0.0,832.0,832.0,832,505,0,1337,0.0,1,0,3,1,5,0,1956.0,1.0,263.0,0,0,0,0,0,0,2,108000
20,60.0,10950,5,7,0.0,339.0,0.0,525.0,864.0,1064,0,0,1064,0.0,1,0,2,1,4,0,1952.0,1.0,318.0,0,0,0,0,0,0,5,135000
20,119.0,10895,5,6,0.0,648.0,0.0,324.0,972.0,972,0,0,972,0.0,1,0,3,1,5,0,1955.0,1.0,305.0,0,0,205,0,0,0,6,122500
20,68.0,7922,5,7,0.0,731.0,0.0,326.0,1057.0,1057,0,0,1057,1.0,1,0,3,1,5,0,1953.0,1.0,246.0,0,52,0,0,0,0,1,109000
30,65.0,7898,4,7,0.0,0.0,0.0,576.0,576.0,985,0,0,985,0.0,1,0,2,1,4,0,1989.0,2.0,676.0,0,0,0,0,0,0,4,105000
20,85.0,10200,5,7,104.0,320.0,362.0,404.0,1086.0,1086,0,0,1086,1.0,1,0,3,1,6,0,1989.0,2.0,490.0,0,0,0,0,0,0,5,144900
20,74.0,5868,5,7,0.0,248.0,240.0,448.0,936.0,936,0,0,936,1.0,1,0,2,1,4,0,1956.0,1.0,308.0,0,0,80,0,160,0,5,129000
50,78.0,17503,6,5,0.0,0.0,0.0,912.0,912.0,912,546,0,1458,0.0,1,0,3,1,6,1,1948.0,1.0,330.0,192,0,0,0,0,0,1,97500
80,96.0,11275,7,7,300.0,0.0,0.0,710.0,710.0,1898,1080,0,2978,0.0,2,1,5,1,11,1,1961.0,2.0,564.0,240,0,0,0,0,0,6,242000
50,60.0,8064,6,8,0.0,481.0,174.0,161.0,816.0,816,408,0,1224,1.0,1,0,3,1,5,0,1950.0,1.0,280.0,414,0,0,0,0,0,5,132000
50,71.0,8520,5,4,0.0,507.0,0.0,403.0,910.0,910,475,0,1385,0.0,2,0,4,1,6,0,2000.0,2.0,720.0,0,0,0,0,0,0,6,166000
20,60.0,7200,5,7,0.0,234.0,486.0,180.0,900.0,900,0,0,900,0.0,1,0,3,1,5,0,2005.0,2.0,576.0,222,32,0,0,0,0,5,134800
20,81.0,7635,5,6,0.0,588.0,350.0,237.0,1175.0,1175,0,0,1175,0.0,1,1,3,1,6,0,1960.0,2.0,484.0,0,0,0,0,0,0,6,148000
30,56.0,8960,5,6,0.0,0.0,0.0,1008.0,1008.0,1028,0,0,1028,0.0,1,0,2,1,5,1,1927.0,2.0,360.0,0,0,130,0,0,0,3,115000
30,47.0,4608,4,6,0.0,0.0,0.0,747.0,747.0,747,0,0,747,0.0,1,0,2,1,4,0,1945.0,1.0,220.0,0,0,0,0,0,0,6,80000
30,60.0,7200,5,7,294.0,510.0,0.0,278.0,788.0,804,0,0,804,1.0,1,0,2,1,4,2,1940.0,1.0,240.0,0,0,154,0,0,0,2,119000
45,50.0,6900,6,7,0.0,0.0,0.0,827.0,827.0,827,424,0,1251,0.0,1,0,3,1,6,0,1938.0,1.0,240.0,0,0,0,0,0,0,1,119000
50,69.0,11851,5,7,0.0,780.0,0.0,247.0,1027.0,1027,606,0,1633,0.0,1,0,3,1,7,1,1948.0,1.0,240.0,0,100,126,0,0,0,6,129000
30,60.0,8520,6,8,0.0,0.0,0.0,624.0,624.0,720,0,0,720,0.0,1,0,2,1,5,0,2005.0,2.0,484.0,106,0,0,0,0,0,5,105900
50,60.0,10800,5,6,0.0,686.0,0.0,0.0,686.0,966,686,0,1652,1.0,2,0,4,1,7,0,1961.0,1.0,416.0,0,0,196,0,0,1200,6,139000
20,90.0,7407,6,7,0.0,600.0,0.0,312.0,912.0,1236,0,0,1236,1.0,1,0,2,1,6,0,1957.0,2.0,923.0,0,158,158,0,0,0,4,149700
70,60.0,7740,4,7,0.0,0.0,0.0,622.0,622.0,741,622,0,1363,0.0,1,0,3,1,6,0,1966.0,2.0,528.0,0,0,0,0,168,0,6,125500
70,60.0,10560,6,7,0.0,283.0,0.0,455.0,738.0,868,602,0,1470,0.0,1,1,2,1,6,0,1970.0,2.0,624.0,0,0,0,0,0,0,6,140750
50,53.0,5830,5,6,0.0,788.0,0.0,200.0,988.0,1030,582,0,1612,0.0,1,1,3,1,7,0,1950.0,1.0,363.0,0,0,0,0,0,0,3,128500
30,50.0,5000,4,7,0.0,188.0,0.0,577.0,765.0,765,0,0,765,1.0,1,0,2,1,4,0,1926.0,1.0,200.0,135,0,41,0,0,0,4,87000
50,50.0,6000,6,7,0.0,452.0,12.0,144.0,608.0,608,524,0,1132,1.0,1,0,2,1,5,0,1939.0,1.0,240.0,0,0,128,0,0,0,4,134000
50,50.0,6000,6,6,0.0,264.0,0.0,308.0,572.0,848,348,0,1196,0.0,1,1,3,1,6,2,1973.0,2.0,576.0,0,0,0,0,0,0,3,128000
50,53.0,6360,5,6,300.0,360.0,159.0,316.0,835.0,955,498,0,1453,0.0,1,1,3,1,7,2,1942.0,1.0,240.0,0,0,35,0,148,0,3,132000
50,50.0,6000,6,7,0.0,300.0,0.0,480.0,780.0,780,636,0,1416,0.0,1,1,3,1,6,0,1948.0,1.0,312.0,221,0,48,0,0,0,3,139900
50,52.0,6240,5,7,0.0,276.0,0.0,252.0,528.0,548,492,0,1040,0.0,1,0,2,1,5,0,1979.0,2.0,624.0,306,0,32,0,0,0,5,123900
50,52.0,6240,5,5,0.0,448.0,0.0,480.0,928.0,928,608,0,1536,0.0,2,0,4,1,7,1,1930.0,2.0,480.0,0,10,0,0,0,0,3,138400
30,51.0,6120,6,5,0.0,960.0,0.0,164.0,1124.0,1068,0,0,1068,1.0,1,0,2,1,5,1,1923.0,1.0,288.0,0,0,128,0,0,0,3,109500
70,50.0,10300,7,6,0.0,0.0,0.0,576.0,576.0,902,808,0,1710,0.0,2,0,3,1,9,0,1990.0,2.0,480.0,12,11,64,0,0,0,4,140000
70,52.0,3068,6,8,0.0,0.0,0.0,662.0,662.0,662,662,0,1324,0.0,1,0,3,1,6,0,1920.0,1.0,180.0,0,0,112,0,0,0,2,122000
20,100.0,15263,5,5,90.0,766.0,0.0,656.0,1422.0,1675,0,0,1675,0.0,2,0,3,1,8,2,1959.0,1.0,365.0,0,132,0,0,0,0,5,173000
50,65.0,6001,6,5,0.0,368.0,0.0,232.0,600.0,600,319,0,919,0.0,1,0,3,1,5,0,1940.0,1.0,231.0,0,0,45,0,0,0,3,95000
20,70.0,8521,5,5,0.0,842.0,0.0,70.0,912.0,912,0,0,912,0.0,1,0,3,1,5,1,1974.0,1.0,336.0,0,0,0,0,0,0,5,125000
20,65.0,7800,5,7,47.0,240.0,474.0,150.0,864.0,892,0,0,892,1.0,1,0,3,1,5,0,1966.0,1.0,416.0,0,0,0,0,0,0,6,137900
60,80.0,9364,6,7,143.0,371.0,0.0,292.0,663.0,663,689,0,1352,0.0,1,1,4,1,7,0,1969.0,1.0,299.0,379,36,0,0,0,0,3,158000
20,65.0,7832,5,5,0.0,775.0,0.0,89.0,864.0,864,0,0,864,1.0,1,0,2,1,4,0,1969.0,1.0,280.0,226,0,0,0,0,0,5,137250
60,86.0,11227,5,5,0.0,267.0,453.0,0.0,720.0,720,720,0,1440,0.0,1,1,4,1,7,2,1968.0,2.0,480.0,192,38,0,0,0,0,3,163000
60,80.0,14000,7,5,0.0,1201.0,0.0,105.0,1306.0,1306,954,0,2260,1.0,2,1,3,1,7,0,1996.0,2.0,533.0,296,44,0,0,0,0,4,328000
30,94.0,9259,4,4,0.0,0.0,0.0,660.0,660.0,756,0,0,756,0.0,1,0,2,1,4,0,1945.0,2.0,440.0,80,0,0,0,0,0,6,85000
20,60.0,9600,4,7,0.0,442.0,0.0,625.0,1067.0,1067,0,0,1067,0.0,2,0,2,1,4,0,1996.0,2.0,436.0,290,0,0,0,0,0,2,128000
30,85.0,10625,5,5,0.0,108.0,0.0,350.0,458.0,835,0,0,835,0.0,1,0,2,1,5,0,1920.0,1.0,366.0,0,0,77,0,0,400,5,83000
20,65.0,11479,6,7,0.0,104.0,387.0,172.0,663.0,1074,0,0,1074,1.0,1,0,3,1,6,1,1987.0,1.0,467.0,0,52,52,0,0,0,6,144500
20,68.0,9571,5,6,0.0,739.0,0.0,405.0,1144.0,1144,0,0,1144,1.0,1,0,3,1,6,0,1956.0,1.0,596.0,44,0,0,0,0,0,6,129000
20,75.0,9525,5,7,0.0,954.0,0.0,218.0,1172.0,1172,0,0,1172,1.0,1,0,3,1,5,0,1954.0,1.0,366.0,240,0,0,0,0,0,6,128000
20,83.0,10420,6,5,0.0,36.0,0.0,1176.0,1212.0,1212,0,0,1212,0.0,2,0,3,1,6,0,2009.0,2.0,460.0,100,22,0,0,0,0,3,186000
20,44.0,17485,7,5,96.0,1346.0,0.0,162.0,1508.0,1508,0,0,1508,1.0,1,0,1,1,5,2,2009.0,2.0,572.0,0,0,0,0,0,0,1,308030
60,77.0,9206,6,5,336.0,0.0,0.0,741.0,741.0,977,755,0,1732,0.0,2,1,3,1,7,1,1985.0,2.0,476.0,192,46,0,0,0,0,6,178000
60,80.0,9938,7,5,246.0,750.0,0.0,300.0,1050.0,1062,887,0,1949,1.0,2,1,3,1,8,1,1993.0,2.0,574.0,156,90,0,0,0,0,6,236000
85,73.0,9069,6,6,0.0,747.0,0.0,189.0,936.0,996,0,0,996,1.0,1,0,2,1,5,0,1992.0,2.0,564.0,120,0,0,0,0,0,4,147000
20,64.0,10475,8,5,72.0,0.0,0.0,1694.0,1694.0,1694,0,0,1694,0.0,2,0,3,1,7,0,2008.0,3.0,776.0,160,33,0,0,0,0,2,245350
20,64.0,6762,7,5,24.0,686.0,0.0,501.0,1187.0,1208,0,0,1208,1.0,2,0,2,1,6,0,2006.0,2.0,632.0,105,61,0,0,0,0,2,206000
20,94.0,10402,7,5,0.0,0.0,0.0,1226.0,1226.0,1226,0,0,1226,0.0,2,0,3,1,6,0,2009.0,3.0,740.0,0,36,0,0,0,0,5,198900
20,64.0,7360,7,5,80.0,24.0,0.0,1198.0,1222.0,1222,0,0,1222,0.0,2,0,2,1,6,0,2009.0,2.0,615.0,0,54,0,0,0,0,3,187000
50,82.0,14235,6,8,0.0,0.0,0.0,676.0,676.0,831,614,0,1445,0.0,2,0,3,1,6,0,1957.0,2.0,484.0,0,59,0,0,0,0,3,138500
80,80.0,8816,6,7,80.0,504.0,0.0,506.0,1010.0,1052,0,0,1052,1.0,1,0,3,1,6,0,1971.0,2.0,440.0,0,0,0,0,0,0,6,155000
